situacao_estudante;aluno_id;ano;curso;idade;genero;renda_familiar;tem_bolsa;trabalha;frequencia;media_notas;n_reprovacoes;apoio_familiar;evadiu
Ingressante;2024_00000;2024;Psicologia;23;Masculino;4950;0;0;0;0;0;1;
Ingressante;2024_00001;2024;Arquitetura;18;Feminino;116880;0;0;0;0;0;1;
Ingressante;2024_00002;2024;Engenharia;28;Masculino;21510;0;0;0;0;0;1;
Ingressante;2024_00003;2024;Computação;22;Feminino;9440;0;0;0;0;0;1;
Ingressante;2024_00004;2024;Administração;29;Masculino;116750;1;1;0;0;0;0;
Ingressante;2024_00005;2024;Administração;25;Feminino;67700;1;0;0;0;0;1;
Ingressante;2024_00006;2024;Psicologia;20;Feminino;10840;1;0;0;0;0;1;
Ingressante;2024_00007;2024;Administração;17;Feminino;88330;0;0;0;0;0;1;
Ingressante;2024_00008;2024;Direito;26;Masculino;63220;0;0;0;0;0;0;
Ingressante;2024_00009;2024;Computação;29;Outro;14460;0;0;0;0;0;1;
Ingressante;2024_00010;2024;Psicologia;17;Masculino;88640;0;1;0;0;0;0;
Ingressante;2024_00011;2024;Computação;22;Feminino;55870;0;1;0;0;0;1;
Ingressante;2024_00012;2024;Arquitetura;22;Masculino;850;0;0;0;0;0;0;
Ingressante;2024_00015;2024;Administração;26;Masculino;55960;0;1;0;0;0;1;
Ingressante;2024_00016;2024;Pedagogia;23;Masculino;42580;0;1;0;0;0;1;
Ingressante;2024_00017;2024;Psicologia;25;Masculino;117430;0;1;0;0;0;1;
Ingressante;2024_00018;2024;Psicologia;27;Feminino;46040;1;1;0;0;0;0;
Ingressante;2024_00019;2024;Arquitetura;17;Feminino;120890;1;1;0;0;0;0;
Ingressante;2024_00021;2024;Direito;29;Masculino;102250;1;0;0;0;0;0;
Ingressante;2024_00024;2024;Medicina;25;Feminino;7370;0;0;0;0;0;1;
Ingressante;2024_00026;2024;Engenharia;28;Feminino;140920;0;0;0;0;0;0;
Ingressante;2024_00028;2024;Pedagogia;26;Feminino;101580;0;0;0;0;0;1;
Ingressante;2024_00033;2024;Engenharia;29;Masculino;62530;0;0;0;0;0;1;
Ingressante;2024_00034;2024;Pedagogia;28;Masculino;106880;1;0;0;0;0;0;
Ingressante;2024_00035;2024;Administração;23;Masculino;140540;0;0;0;0;0;1;
Ingressante;2024_00038;2024;Direito;28;Masculino;77510;1;0;0;0;0;1;
Ingressante;2024_00040;2024;Arquitetura;17;Feminino;90790;0;1;0;0;0;1;
Ingressante;2024_00041;2024;Pedagogia;19;Feminino;138010;0;1;0;0;0;1;
Ingressante;2024_00042;2024;Computação;21;Masculino;29490;0;1;0;0;0;1;
Ingressante;2024_00043;2024;Administração;20;Outro;65580;1;0;0;0;0;0;
Ingressante;2024_00046;2024;Engenharia;29;Feminino;104110;0;0;0;0;0;0;
